Cell	Cell_type
C_1	Sinusoidal endothelial cell
C_2	T cell
C_3	Dendritic cell
C_4	T cell
C_5	T cell
C_6	Sinusoidal endothelial cell
C_7	T cell
C_8	Sinusoidal endothelial cell
C_9	T cell
C_10	T cell
C_11	Sinusoidal endothelial cell
C_12	Sinusoidal endothelial cell
C_13	T cell
C_14	Sinusoidal endothelial cell
C_15	T cell
C_16	T cell
C_17	Antigen presenting cell (RPS high)
C_18	T cell
C_19	T cell
C_20	Sinusoidal endothelial cell
C_21	Sinusoidal endothelial cell
C_22	T cell
C_23	Sinusoidal endothelial cell
C_24	T cell
C_25	Sinusoidal endothelial cell
C_26	T cell
C_27	T cell
C_28	T cell
C_29	T cell
C_30	T cell
C_31	T cell
C_32	T cell
C_33	T cell
C_34	T cell
C_35	T cell
C_36	T cell
C_37	T cell
C_38	B cell
C_39	Sinusoidal endothelial cell
C_40	T cell
C_41	T cell
C_42	T cell
C_43	Sinusoidal endothelial cell
C_44	T cell
C_45	T cell
C_46	T cell
C_47	T cell
C_48	Sinusoidal endothelial cell
C_49	T cell
C_50	Sinusoidal endothelial cell
C_51	Sinusoidal endothelial cell
C_52	Sinusoidal endothelial cell
C_53	Sinusoidal endothelial cell
C_54	T cell
C_55	T cell
C_56	Monocyte
C_57	T cell
C_58	Neutrophil
C_59	T cell
C_60	T cell
C_61	T cell
C_62	Sinusoidal endothelial cell
C_63	Sinusoidal endothelial cell
C_64	T cell
C_65	T cell
C_66	Dendritic cell
C_67	Sinusoidal endothelial cell
C_68	Sinusoidal endothelial cell
C_69	T cell
C_70	T cell
C_71	T cell
C_72	T cell
C_73	T cell
C_74	T cell
C_75	T cell
C_76	Sinusoidal endothelial cell
C_77	Sinusoidal endothelial cell
C_78	Sinusoidal endothelial cell
C_79	Sinusoidal endothelial cell
C_80	T cell
C_81	T cell
C_82	Sinusoidal endothelial cell
C_83	T cell
C_84	T cell
C_85	T cell
C_86	T cell
C_87	Monocyte
C_88	T cell
C_89	Monocyte
C_90	T cell
C_91	T cell
C_92	Sinusoidal endothelial cell
C_93	T cell
C_94	T cell
C_95	Monocyte
C_96	T cell
C_97	T cell
C_98	Neutrophil
C_99	T cell
C_100	T cell
C_101	T cell
C_102	Sinusoidal endothelial cell
C_103	Sinusoidal endothelial cell
C_104	T cell
C_105	T cell
C_106	Sinusoidal endothelial cell
C_107	T cell
C_108	T cell
C_109	Sinusoidal endothelial cell
C_110	Sinusoidal endothelial cell
C_111	Sinusoidal endothelial cell
C_112	Sinusoidal endothelial cell
C_113	T cell
C_114	T cell
C_115	T cell
C_116	Sinusoidal endothelial cell
C_117	Sinusoidal endothelial cell
C_118	Sinusoidal endothelial cell
C_119	Sinusoidal endothelial cell
C_120	T cell
C_121	T cell
C_122	T cell
C_123	T cell
C_124	Sinusoidal endothelial cell
C_125	T cell
C_126	Sinusoidal endothelial cell
C_127	Neutrophil
C_128	Sinusoidal endothelial cell
C_129	T cell
C_130	Antigen presenting cell (RPS high)
C_131	T cell
C_132	T cell
C_133	Sinusoidal endothelial cell
C_134	T cell
C_135	Sinusoidal endothelial cell
C_136	T cell
C_137	Monocyte
C_138	T cell
C_139	T cell
C_140	T cell
C_141	Sinusoidal endothelial cell
C_142	T cell
C_143	Sinusoidal endothelial cell
C_144	T cell
C_145	Sinusoidal endothelial cell
C_146	T cell
C_147	Sinusoidal endothelial cell
C_148	Sinusoidal endothelial cell
C_149	T cell
C_150	T cell
C_151	Sinusoidal endothelial cell
C_152	B cell
C_153	Monocyte
C_154	Sinusoidal endothelial cell
C_155	T cell
C_156	T cell
C_157	T cell
C_158	Sinusoidal endothelial cell
C_159	T cell
C_160	Sinusoidal endothelial cell
C_161	T cell
C_162	Sinusoidal endothelial cell
C_163	Sinusoidal endothelial cell
C_164	T cell
C_165	Sinusoidal endothelial cell
C_166	Sinusoidal endothelial cell
C_167	Sinusoidal endothelial cell
C_168	Sinusoidal endothelial cell
C_169	T cell
C_170	Sinusoidal endothelial cell
C_171	T cell
C_172	Sinusoidal endothelial cell
C_173	T cell
C_174	Sinusoidal endothelial cell
C_175	T cell
C_176	Monocyte
C_177	T cell
C_178	T cell
C_179	T cell
C_180	Sinusoidal endothelial cell
C_181	Neutrophil (RPS high)
C_182	Sinusoidal endothelial cell
C_183	T cell
C_184	Sinusoidal endothelial cell
C_185	Sinusoidal endothelial cell
