NCBI GeneID	Symbol	Common Name	Synonyms
30592	myl7	zebrafish	mlc7,cmlc2,mylc2a,zgc:92755
30513	myod1	zebrafish	myod,wu:fb57a01,zgc:136744,etID309723.25
30425	pax2a	zebrafish	noi,paxb,Pax-2,cb378,pax-b,pax2.1,pax2a1,PAXZF-B,pax[zf-b]
30269	shha	zebrafish	shh,syu,vhh1,ShhNC,vhh-1,fc83d08,wu:fc83d08
30399	tbxta	zebrafish	ta,ntl,zft,ZF-T,ntla,cb240,ZF-NTL,Zf-T-A,id:ibd5074,wu:fc80a01
405770	il1b	zebrafish	il1-b,zgc:111873
30190	egr2b	zebrafish	egr2,cb427,krx20,KRX-20,krox20,zgc:92210,id:ibd5073,wu:fb71h10
796537	kdrl	zebrafish	flk,kdr,flk1,kdra,flk-1,vegr2,vegfr2,vegfr4,vegfr-2,vegfr2a,wu:fk52c05
560210	hsp70l	zebrafish	HSP70,hsp70-4
30590	tp53	zebrafish	p53,brp53,drp53,fb40d06,wu:fb40d06,zgc:111919,etID22686.5
405785	tnfa	zebrafish	
30481	gata1a	zebrafish	vlt,zg1,gta1,gata1,sb:eu551
317743	gapdh	zebrafish	gapd,cb609,bb02e05,mg:bb02e05,wu:fb33a10,wu:ft80f05
30212	gsc	zebrafish	ZGSC,zgc:101595,ik:tdsubc_2g4,xx:tdsubc_2g4,ik:tdsubc_1c10,ik:tdsubc_2h11,xx:tdsubc_1c10,xx:tdsubc_2h11
30538	fgf8a	zebrafish	ace,fgf8,cb110,fgf-8,id:ibd5031,wu:fb73a06,etID309886.13
140634	cyp1a	zebrafish	cyp1a1,zfCYP1A,wu:fb63b04,zgc:109747
30516	eef1a1l1	zebrafish	ef1a,eef1a,chunp6927,EFL1-alpha,tdsubc_2a3,wu:fa91c07,wu:fa94b03,wu:fi13b09,ik:tdsubc_2a3,ik:tdsubc_2b3,xx:tdsubc_2a3,xx:tdsubc_2b3
30612	bmp4	zebrafish	bmp-4,zbmp-4,zgc:100779
559475	vtg1	zebrafish	vg1,zfvg1,wu:fb63b05,wu:fb66b04,zgc:109796
337514	mpx	zebrafish	drf,mpo,fj80f04,wu:fj80f04
140616	sox10	zebrafish	cls/sox10,zgc:100757
30732	elavl3	zebrafish	HuC,elrc,zHuC,id:ibd1248,wu:fb77b03
30147	isl1a	zebrafish	isl1,Isl-1,islet-1
30574	dlx2a	zebrafish	dlx2,dlx-2,zgc:110518
30553	sod1	zebrafish	ZSOD,cuzn,Cu/Zn-SOD
30632	bmp2b	zebrafish	swr,bmp2,bmp-2,cb670,zbmp2,bmp2-4,zbmp-2
30682	vegfaa	zebrafish	vegf,vegfa,wu:fj82c06
30480	gata2a	zebrafish	zg2,gata2
30262	ins	zebrafish	zgc:109842
30239	neurog1	zebrafish	ngn1,ngr1,NGN-1,cb260,zNgn1,Zath4c,neurod3,chunp6899
30619	fli1	zebrafish	fli,cb855,fli-1,fli1a,wu:fc45b11
60640	cyp19a1b	zebrafish	AroB,cyp19,cyp19b,CYP19a2,P450aromB,zgc:92614
30519	myb	zebrafish	cmyb,c-myb
30696	nkx2.5	zebrafish	nk2.5,nkx2-5,sb:eu581,zgc:111912
30766	tal1	zebrafish	scl,tal-1,SCL-beta,scl/tal1,SCL-alpha,zgc:85605
30390	cyp19a1a	zebrafish	ar1,cyp19,cyp19a,cypXIX,CYP19a1,P450aromA,zgc:136541,etID309862.18
30161	chrd	zebrafish	chd,din,fe47d04,wu:fe47d04
259252	esr1	zebrafish	ESR,ER[a],NR3A1,eralpha,zfER[a]
30718	notch1a	zebrafish	des,n1a,wu:fc01e02,wu:fc37a05
30384	th	zebrafish	
30263	ddx4	zebrafish	vas,vlg,vasa,wu:fi24g05,zgc:109812,zgc:158535
30567	pax6a	zebrafish	pax6,cb280,pax-a,Pax6.1,paxzfa,PAXZF-A,fc20e07,zfpax-6a,zfpax-6b,pax[zf-a],wu:fc20e07
30068	cat	zebrafish	fb68a12,wu:fb68a12
30501	otx2b	zebrafish	otx2,zOtx2,zotx-2,id:ibd2915,zgc:136535
30663	rag1	zebrafish	RAG-1
30585	dlx3b	zebrafish	dlx3,dlx-3,zgc:91827,id:ibd3531,wu:fb83f11
30080	mitfa	zebrafish	nacre,z3A.1
562496	col2a1a	zebrafish	col2a1,coll2a1,fb38c06,fc10c01,wu:fb38c06,wu:fc10c01
30117	spi1b	zebrafish	pu1,pu.1,spi1,sfpi1,cb1086,si:by184l24.2
171481	fabp10a	zebrafish	Lfabp,L-FABP,fabp10,Lb-FABP,z-L-BABP,Zf-FABP10,zgc:92741,zgc:103719
30616	myh7	zebrafish	vmhc,smyhc3,mg:cb02g011
30646	gfap	zebrafish	cb345,gfapl,wu:fb34h11,wu:fk42c12,zgc:110485,etID36982.3,xx:af506734
58081	baxa	zebrafish	bax,fj16e01,wu:fc50b10,wu:fj16e01
100002946	cxcl8a	zebrafish	il8,cxcl8,si:dkey-151b16.2
30181	ptch2	zebrafish	blw,ptc1,ptc-1,ptch1,blowout,etlD309849.2
570772	bcl2a	zebrafish	bcl2
58126	runx1	zebrafish	runxa
57934	actb1	zebrafish	ACTB,bact,actba,bactzf,B-ACTZF,bactin1,wu:fd18f05
394198	fosab	zebrafish	fos,cb1065,zgc:77885
60641	sox9a	zebrafish	jef,wu:fj17b12,zgc:111921
406397	mmp9	zebrafish	ZFMMP-9,fj05a08,zgc:64165,wu:fb02g06,wu:fb07b05,wu:fi98c09,wu:fj05a08
378723	sox2	zebrafish	soxp,cb236,zgc:65860,zgc:77389,wu:fb83g04,wu:fc14d07
30219	efnb2a	zebrafish	efnb2,id:ibd5072
30295	rho	zebrafish	Rh,RH1,zfo2,rh1.1,zfrho,wu:fi06d11
30583	lcp1	zebrafish	cb245,fj24b12,wu:fj24b12
326281	mbpa	zebrafish	mbp,cb274,fj33b11,wu:fj33b11,wu:fq15b02,zgc:136630
30169	neurod1	zebrafish	nrd,NDF1,neurod,neuro-D
100885851	il6	zebrafish	
30121	flt4	zebrafish	VEGFR3,cb1059
30559	foxa3	zebrafish	fkd2,Zffkh1,fa11c04,fc37a08,zf-FKH1,forkhead-2,wu:fa11c04,wu:fc37a08
386711	myh6	zebrafish	amhc,myhc6
677744	lyz	zebrafish	lys-C,zgc:136734
100000769	cryaa	zebrafish	zgc:92036,wu:fc06h04
30705	fgfr1a	zebrafish	cb231,fgfr1,FGFR-1-A,sb:cb231,bFGF-R-1-A
57935	actb2	zebrafish	actbb,bact2,bactin2
338101	spaw	zebrafish	
30548	foxd3	zebrafish	fkd6,fkh6,fkd-6,forkhead-6,zgc:111934
30678	pcna	zebrafish	cb16,fa28e03,fb36g03,wu:fa28e03,wu:fb36g03
30126	foxa2	zebrafish	ax,axl,fkd1,HNF-3B,tdsubc_2g8,wu:fe05g04,ik:tdsubc_2g8,xx:tdsubc_2g8
317733	esr2b	zebrafish	ER[b]1,zfER[b]1,zfER-beta1
116713	aldh1a2	zebrafish	raldh2,fb50h01
140621	casp3a	zebrafish	casp3,zgc:100890
553957	il10	zebrafish	zgc:194510,zgc:194518
794892	notch1b	zebrafish	wu:fc55e11,etID309871.5
114447	cxcr4b	zebrafish	CXCR4,cb403,zgc:109863
30197	dkk1b	zebrafish	dkk1
335799	sod2	zebrafish	cb463,zgc:73051,wu:fj33b01
100151416	cdkn1a	zebrafish	p21,cip1,waf1,si:ch1073-48m5.2
30120	dlc	zebrafish	delC
445471	cdh5	zebrafish	mlb,fc88a07,wu:fc88a07
58150	hand2	zebrafish	han,dhand,zdHAND,zgc:103415
360134	ifnphi1	zebrafish	ifn,ifn1,ifnab
799352	ndr1	zebrafish	sqt,NDR2,znr2,Ndr-1,Znr-2,CHUNP6892
30222	ccnd1	zebrafish	cb161,cycd1,fb52e01,fc45c08,fc83a12,id:ibd1198,wu:fb52e01,wu:fc45c08,wu:fc83a12,etID37810.7
30335	eve1	zebrafish	evx3,cb872
30544	sox17	zebrafish	
30549	fgf3	zebrafish	FGF-3,id:ibd5006
30071	tbx5a	zebrafish	hst,tbx5,tbx5.1
352926	gpx1a	zebrafish	gpx1,cb690,zgc:92737,zgc:103683
352944	cxcl12a	zebrafish	SDF-1,sdf1a,cxcl12,sdf-1a,wu:fa55e10,wu:fc16h12,wu:fj84c02
60642	sox9b	zebrafish	fb18d01,wu:fb18d01
30679	prox1a	zebrafish	prox1,zgc:111888
492507	crhb	zebrafish	crf,crh,crfb,zgc:101864
30145	lft1	zebrafish	atv,cb73,antivin,ik:tdsubc_2b12,xx:tdsubc_2b12
30287	her1	zebrafish	HER-1,id:ibd5086
30291	cdh2	zebrafish	bib,glo,lyr,pac,ncad,wu:fb47h04
140631	nanos3	zebrafish	nos1,cb725,nanos,nanos1
30701	lef1	zebrafish	
30186	crestin	zebrafish	
100005148	ar	zebrafish	NR3C4
30260	noto	zebrafish	flh,Znot
58066	notch3	zebrafish	notch5,fa14b08,wu:fa14b08
30265	ctnnb1	zebrafish	ctnnb,id:ibd2058,wu:fb73e10,wu:fi81c06,wu:fk25h01
30292	ndr2	zebrafish	cyc,ndr1,znr1,Ndr-2,Znr-1,cyclops
30164	pitx2	zebrafish	pitx2a,pitx2c,zgc:110508
30607	thrb	zebrafish	trb,thr2,NR1A2,TR[b]1,TR-beta,fj24f03,wu:fj24f03
553740	nr3c1	zebrafish	gr,utut,utouto,fb13f09,wu:fb13f09,zgc:113038
352937	dio2	zebrafish	Deio2,cb684
360149	nfe2l2a	zebrafish	Nrf2,nfe2l2,wu:fc15g09,wu:fj67e03
378441	gad1b	zebrafish	gad1,GAD67
58118	bdnf	zebrafish	
30264	tbx16	zebrafish	spt,cb103,spt-1,id:ibd2185,wu:fa17g07,zgc:109817
30466	ascl1a	zebrafish	ash,asha,zasha,zash1a,Zash-1a,id:ibd5085,im:7138587,si:dkey-264k15.2
353221	pomca	zebrafish	MSH,ACTH,pomc,SI:bZ36D5.1,SI:bZ36D5.4,si:bz36d5.2
114433	igf1	zebrafish	IGF-1,IGF-I,IGF-1L,IGF-1a
317734	esr2a	zebrafish	ER[b]2,ER[b]a,zfER[b]2,zfER-beta2
335407	mpeg1.1	zebrafish	mpeg1,fj09e08,zgc:66409,wu:fb14d06,wu:fj09e08
399692	cyp17a1	zebrafish	cyp17,P450c17,zgc:66494,wu:fi13g04,wu:fi17b11,wu:fi31c08,zgc:136516
30122	wnt8a	zebrafish	wnt8,wnt-8,wnt8.1,wu:fa20e02,wu:fe05d07
30138	dld	zebrafish	sc:d0402
30708	fabp2	zebrafish	ifabp,I-FABP,zgc:92264
406367	gapdhs	zebrafish	cb350,g3pdh,gapdh,gapds,fb71f08,fk58c09,gapdh-2,zgc:76908,wu:fb71f08,wu:fk58c09
30128	wnt1	zebrafish	WNT-1,int-1,sb:eu647,zgc:194464,zgc:194478
30700	etv4	zebrafish	pea3
360141	gnrh3	zebrafish	sGnRH
58080	axin2	zebrafish	axil,wu:fb37c08,zgc:111942
30332	lmo2	zebrafish	wu:fc83a08,zgc:111930
353223	tshba	zebrafish	tshb
405790	ifng1	zebrafish	ifng,INF-G,ifng1-2
30194	alcama	zebrafish	alcam,cd166,DM-GRASP
30517	ahr2	zebrafish	ahrb
557037	pparg	zebrafish	PPAR[g]
64274	csf1ra	zebrafish	fms,csf1r,CSF-1R,M-CSF-R,panther
116990	sox32	zebrafish	cas,10J3,226D7,CG569,cb527
79381	gstp1.2	zebrafish	cb356,gstp1,fa02f07,wu:fa02f07,wu:fj23a02,zgc:103706
100174951	mt2	zebrafish	mt,mt1,MT-2,wu:fc77e11,wu:fj10c11
325288	olig2	zebrafish	wu:fc64g09
58216	atoh7	zebrafish	ath5,zath5
30146	lft2	zebrafish	atv2,cb720,fe38b03,wu:fe38b03
30483	gata4	zebrafish	gata
63999	star	zebrafish	
30381	cyp26a1	zebrafish	cb24,CYP26,P450RAI,id:ibd5061,wu:fb81e05
30200	myog	zebrafish	cb553,zgc:100763
321442	nppa	zebrafish	anf,anp,zeh1304,hm:zeh1304
80787	slc6a3	zebrafish	dat
30637	mdm2	zebrafish	sb:eu923,zgc:109834
30608	gap43	zebrafish	gap,cb310
30333	pou5f3	zebrafish	gp9,spg,gp-9,oct4,pou2,POU-2,cb197,pou5f1,spg/pou2,chunp6868,wu:fd18d06,etID49452.21
402917	lhb	zebrafish	lhb1,lhbeta1,zgc:92312
30225	smo	zebrafish	smu,smoh,CHUNP6862,wu:fb70b01,wu:fc39h03
30429	mylpfa	zebrafish	cb46,mlc2f,mylz2,myl11a,sb:cb46
30670	thraa	zebrafish	tra,thr1,thra,tra1,nr1a1,thral,TR[a]1,wu:fb59g07
563920	dll4	zebrafish	zgc:136596,si:ch211-244p18.5
794486	krt4	zebrafish	cb59,krt8,zf-K8,wu:fa91a11,wu:fd19e09,wu:fl23c09,etID20321.6
30582	opn1sw1	zebrafish	SWS1,zfuv,uvops,opn1sw2
359834	tgfb1a	zebrafish	tgfb1,ai39657,wu:fb13a07,xx:ai39657
560828	rpl13a	zebrafish	fd05d08,wu:fa95e06,wu:fb08g07,wu:fd05d08,hm:zehp0384
80374	cyp11a1.1	zebrafish	cb957,P450scc,cyp11a1,wu:fj97d10
30482	gata5	zebrafish	gta5,cb634,fau/gata5
30686	myca	zebrafish	MYC,cmyc,c-myc,zc-myc
30697	nkx2.2a	zebrafish	nk2.2,nkx2-2,nkx2.2,id:ibd5090,wu:fc83b01,zgc:136536
402919	fshb	zebrafish	gthI
492763	casp9	zebrafish	im:7136887,zgc:101776
58097	myf5	zebrafish	cb641,myf-5,zgc:110509
791595	wnt11f2	zebrafish	slb,cb748,wnt11,Slb/Wnt11
550134	ubb	zebrafish	ubc,zUBC,Ubi-p63E,im:6892314,zgc:172187,si:ch211-202a12.3
30245	wt1a	zebrafish	wt1,zwt1
407639	gh1	zebrafish	ghl
58074	dct	zebrafish	trp2,TRP-2,zgc:109860
114424	cdh1	zebrafish	E-cadherin
30303	atoh1a	zebrafish	ath1,atoh1,zath1,ZATH-1,Zath1a,Atoh1.1,zgc:136417
30207	tyr	zebrafish	sandy,zgc:109705
30243	en2a	zebrafish	eng2,ENG-2,Zf-en,eng2a,ZF-EN-2
30131	dla	zebrafish	cb335,fa04c10,wu:fa04c10
405399	mnx1	zebrafish	hlxb9,zgc:112174
65223	prss1	zebrafish	try,wu:fb57g08,zgc:109701
544667	flt1	zebrafish	flt1b,sFlt1,VEGFR1
792194	snai1b	zebrafish	sna2,snail2
403049	vegfc	zebrafish	
799937	dio1	zebrafish	Deio1,cb685,zgc:92323
114549	ache	zebrafish	zgc:92550
58146	hey2	zebrafish	grl,zgc:136746
83773	dmd	zebrafish	Dp71,cb664,zfDYS,im:6911785,zgc:110165
246227	ptgs2a	zebrafish	ptgs2,zCOX-2,fj02a10,unp1239,wu:fj02a10
30304	tdgf1	zebrafish	oep,cb85,cripto,wu:fe01d04,zgc:109829
30444	shhb	zebrafish	twh,twhh
30456	pcdh8	zebrafish	papc,zPAPC,sb:eu375
402920	lhcgr	zebrafish	lhr,GTHR-II,zfGTHR-II
445289	kras	zebrafish	K-ras,xRAS2,fa04e08,fc14b12,fc23g10,fj89d12,zgc:85725,wu:fa04e08,wu:fc14b12,wu:fc23g10,wu:fj89d12
100149863	her4.1	zebrafish	her4,Hes5e,zgc:55218,wu:fe18g04,wu:fq41c06,ch73-21g5.2
58071	tnnt2a	zebrafish	cTnT,ctnnt,tnnt2
30105	wnt5b	zebrafish	ppt,wnt5,wnt-5,wnt[b],pipetail,CHUNP6928,id:ibd5111,wu:fk85g06
30721	pdx1	zebrafish	ipf1,pdx-1,zgc:100874
555766	etsrp	zebrafish	grc,etv2,ets1b,wu:fc49b07,zgc:153819
58022	casp8	zebrafish	caspase-8,zgc:92075
403145	myd88	zebrafish	zgc:103541
559001	fasn	zebrafish	fj34h12,wu:fj34h12
378848	hspa5	zebrafish	cb865,fb60h09,fi36d04,zgc:55994,zgc:77606,wu:fb60h09,wu:fi36d04
387293	mmp13a	zebrafish	mmp13,cb1034
30435	opn1sw2	zebrafish	SWS2,bluops,zfblue,SI:zK13A21.5
337158	col1a1a	zebrafish	cb21,col1a1,sb:cb21,sb:cb384,alpha1(I),wu:fa99c12,wu:fb02c06
393202	hif1ab	zebrafish	hif1a,zgc:55405,wu:fb63a10
