NCBI GeneID	Symbol	Common Name	Synonyms
14910	Gt(ROSA)26Sor	house mouse	R26,ROSA26,Gtrgeo26,Gtrosa26,Thumpd3as1
22059	Trp53	house mouse	bbl,bfy,bhy,p44,p53,Tp53
11816	Apoe	house mouse	Apo-E
21898	Tlr4	house mouse	Lps,Ly87,Ran/M1,Rasl2-8
21926	Tnf	house mouse	DIF,Tnfa,TNF-a,TNFSF2,Tnlg1f,Tnfsf1a,TNFalpha,TNF-alpha
15978	Ifng	house mouse	Ifg,If2f,IFN-g
16847	Lepr	house mouse	db,Obr,obl,B219,LEP-R,Leprb,Modb1,LEPROT,OB-RGRP,diabetes,obese-like
16846	Lep	house mouse	ob,obese
16153	Il10	house mouse	CSIF,If2a,Il-10
16193	Il6	house mouse	Il-6
21803	Tgfb1	house mouse	Tgfb,Tgfb-1,TGFbeta1,TGF-beta1
12387	Ctnnb1	house mouse	Bfc,Mesc,Catnb
17874	Myd88	house mouse	
13405	Dmd	house mouse	dys,mdx,pke,Dp71,Dp427,DXSmh7,DXSmh9
24088	Tlr2	house mouse	Ly105
14102	Fas	house mouse	lpr,APO1,APT1,CD95,TNFR6,Tnfrsf6
18024	Nfe2l2	house mouse	Nrf2
20848	Stat3	house mouse	Aprf,1110034C02Rik
19211	Pten	house mouse	TEP1,MMAC1,PTENbeta,2310035O07Rik,A130070J02Rik,B430203M17Rik
20423	Shh	house mouse	Hx,Dsh,Hhg1,Hxl3,HHG-1,ShhNC,M100081,9530036O11Rik
11789	Apc	house mouse	CC1,Min,mAPC
11651	Akt1	house mouse	Akt,PKB,Rac,LTR-akt,PKB/Akt,PKBalpha
19373	Rag1	house mouse	Rag-1
18126	Nos2	house mouse	iNOS,Nos-2,Nos2a,i-NOS,NOS-II,MAC-NOS
16835	Ldlr	house mouse	Hlb301
17105	Lyz2	house mouse	Lys,Lzm,Lzp,Lysm,Lyzs,Lyzf2,Lzm-s1
19016	Pparg	house mouse	Nr1c3,PPARgamma,PPAR-gamma,PPARgamma2,PPAR-gamma2
16590	Kit	house mouse	W,Bs,Fdc,Ssm,SCO1,SCO5,SOW3,CD117,c-KIT,Tr-kit,Gsfsco1,Gsfsco5,Gsfsow3
16653	Kras	house mouse	ras,p21B,K-Ras,K-ras,Kras2,Ki-ras,Kras-2,K-Ras 2,c-K-ras,c-Ki-ras
20371	Foxp3	house mouse	sf,JM2,scurfin
22339	Vegfa	house mouse	Vpf,Vegf,L-VEGF
12367	Casp3	house mouse	CC3,AC-3,Lice,Yama,mldy,CPP32,SCA-1,CASP-3,CPP-32,Caspase-3,A830040C14Rik
18033	Nfkb1	house mouse	p50,p105,NF-KB1,p50/p105,NF-kappaB,NF-kappaB1
15251	Hif1a	house mouse	MOP1,bHLHe78,HIF1alpha,HIF1-alpha,HIF-1-alpha
19122	Prnp	house mouse	PrP,PrPC,Sinc,CD230,PrPSc,Prn-i,Prn-p,PrP<C>,prP27-30,prP33-35C
11820	App	house mouse	Ag,Abpp,Adap,Cvap,Abeta,betaApp,E030013M08Rik
18613	Pecam1	house mouse	Cd31,Pecam,PECAM-1
16171	Il17a	house mouse	Il17,Ctla8,IL-17,Ctla-8,IL-17A
12064	Bdnf	house mouse	
13982	Esr1	house mouse	ER,ERa,ESR,Estr,Estra,Nr3a1,ERalpha,ER-alpha
16189	Il4	house mouse	Il-4,BSF-1
216799	Nlrp3	house mouse	FCU,MWS,FCAS,Cias1,Mmig1,NALP3,Pypaf1,AII/AVP,AGTAVPRL
18127	Nos3	house mouse	eNOS,Nos-3,ecNOS,2310065A03Rik
18128	Notch1	house mouse	N1,Mis6,Tan1,lin-12,9930111A19Rik
19164	Psen1	house mouse	PS1,Ad3h,PS-1,S182
18508	Pax6	house mouse	Dey,Sey,AEY11,Pax-6,Gsfaey11,1500038E17Rik
26416	Mapk14	house mouse	p38,Crk1,Mxi2,p38a,CSBP2,Csbp1,PRKM14,PRKM15,p38MAPK,p38alpha,p38-alpha
93759	Sirt1	house mouse	Sir2,Sir2a,SIR2L1,Sir2alpha
56717	Mtor	house mouse	FRAP,flat,FRAP2,Frap1,RAFT1,RAPT1,2610315D21Rik
19225	Ptgs2	house mouse	COX2,Cox-2,PES-2,PHS-2,Pghs2,TIS10,PGHS-2,PHS II,gripghs
19090	Prkdc	house mouse	p460,scid,slip,DNAPK,DNPK1,HYRC1,XRCC7,dxnph,DOXNPH,DNAPDcs,DNA-PKcs
16000	Igf1	house mouse	Igf-1,Igf-I,C730016P09Rik
19374	Rag2	house mouse	Rag-2
21937	Tnfrsf1a	house mouse	FPF,p55,TNF-R,TNFAR,TNFRI,Tnfr1,p55-R,CD120a,TNF-R1,TNFR60,Tnfr-2,TNF-R-I,TNF-R55,TNFRp55,TNF-alphaR1,TNFalpha-R1
12550	Cdh1	house mouse	Um,UVO,Ecad,ARC-1,E-cad,L-CAM
13051	Cx3cr1	house mouse	mCX3CR1
17869	Myc	house mouse	Myc2,Nird,Niard,bHLHe39
14609	Gja1	house mouse	Cx43,Npm1,Cnx43,Cxnk1,Gja-1,Cx43alpha1,connexin43
16176	Il1b	house mouse	Il-1b,IL-1beta
15975	Ifnar1	house mouse	Ifar,Ifrc,Ifnar,Infar
17395	Mmp9	house mouse	Clg4b,Gel B,MMP-9,B/MMP9,pro-MMP-9
17345	Mki67	house mouse	Ki67,Ki-67,D630048A14Rik
19013	Ppara	house mouse	Ppar,Nr1c1,PPARalpha,PPAR-alpha,4933429D07Rik
12578	Cdkn2a	house mouse	Arf,p16,MTS1,Pctr1,p19ARF,p16INK4a,p19<ARF>,ARF-INK4a,INK4a-ARF,Ink4a/Arf,p16(INK4a)
20682	Sox9	house mouse	mSox9,mKIAA4243,2010306G03Rik
26413	Mapk1	house mouse	ERK,Erk2,MAPK2,PRKM2,Prkm1,p41mapk,p42mapk,9030612K14Rik
20296	Ccl2	house mouse	JE,HC11,MCAF,MCP1,MCP-1,Scya2,Sigje,SMC-CF
20674	Sox2	house mouse	lcc,ysb,Sox-2
12159	Bmp4	house mouse	Bmp-4,Bmp2b,Bmp2b1,Bmp2b-1
15368	Hmox1	house mouse	HO1,HO-1,Hmox,Hemox,Hsp32,D8Wsu38e
73266	Speer6-ps1	house mouse	AlbCre,Alb-cre,SPEER-6,cr<Alb>,Alb<cre>,albumin-cre,1700039A02Rik,Tg(Alb-cre)21Mgn
11622	Ahr	house mouse	Ah,In,Ahh,Ahre,bHLHe76
12801	Cnr1	house mouse	CB1,CB-R,CB1A,CB1B,CB1R
13649	Egfr	house mouse	Wa5,wa2,Erbb,Errp,wa-2,Errb1,9030024J15Rik
193034	Trpv1	house mouse	Vr1,VR-1,OTRPC1,TRPV1beta,TRPV1alpha
12575	Cdkn1a	house mouse	P21,CDKI,CIP1,SDI1,Waf1,mda6,CAP20,Cdkn1,p21WAF,p21Cip1
12772	Ccr2	house mouse	Ckr2,Ccr2a,Ccr2b,Ckr2a,Ckr2b,mJe-r,Cmkbr2,Cc-ckr-2
19293	Pvalb	house mouse	PV,Pva,Parv
22152	Tubb3	house mouse	M(beta)3,M(beta)6,3200002H15Rik
12010	B2m	house mouse	Ly-m11,beta2m,beta2-m
14265	Fmr1	house mouse	FMRP,Fmr-1
56637	Gsk3b	house mouse	GSK3,GSK-3,GSK-3beta,7330414F15Rik,8430431H08Rik
18125	Nos1	house mouse	NO,NOS,bNOS,nNOS,N-NOS,NOS-I,Nos-1,NC-NOS,2310005C01Rik
20750	Spp1	house mouse	OP,2AR,Bsp,Eta,Opn,Ric,BNSP,BSPI,Opnl,Apl-1,ETA-1,Spp-1
81897	Tlr9	house mouse	
20655	Sod1	house mouse	Ipo1,SODC,Ipo-1,Sod-1,CuZnSOD,Cu/Zn-SOD,B430204E11Rik
12389	Cav1	house mouse	Cav,Cav-1
17762	Mapt	house mouse	Tau,Mtapt,PHF-tau
19206	Ptch1	house mouse	Ptc,mes,wig,Ptc1,Ptch,A230106A15Rik
26417	Mapk3	house mouse	p44,Erk1,Ert2,Mnk1,Erk-1,Esrk1,Prkm3,Mtap2k,p44erk1,p44mapk
15194	Htt	house mouse	Hd,Hdh,IT15,C430023I11Rik
17257	Mecp2	house mouse	Mbd5,WBP10,1500041B07Rik,D630021H01Rik
20846	Stat1	house mouse	2010005J02Rik
13058	Cybb	house mouse	Cgd,Cyd,Nox2,gp91-1,gp91phox,CGD91-phox
14580	Gfap	house mouse	
16334	Ins2	house mouse	Mody,Ins-2,InsII,Mody4
19017	Ppargc1a	house mouse	Pgc1,PGC-1,Pgco1,Gm11133,Ppargc1,Pgc-1alpha,A830037N07Rik,PPARGC-1-alpha
11475	Acta2	house mouse	Actvs,a-SMA,SMAalpha,SMalphaA,alphaSMA,0610041G09Rik
16392	Isl1	house mouse	
16542	Kdr	house mouse	orv,Flk1,Ly73,Flk-1,Krd-1,VEGFR2,VEGFR-2,sVEGFR-2,6130401C07
19645	Rb1	house mouse	Rb,pRb,Rb-1,pp105,p110-RB1
11835	Ar	house mouse	Tfm
12028	Bax	house mouse	
12842	Col1a1	house mouse	Cola1,Mov13,Cola-1,Mov-13,Col1a-1
14103	Fasl	house mouse	gld,CD178,CD95L,Fas-L,Faslg,CD95-L,Tnfsf6,Tnlg1a,APT1LG1
19697	Rela	house mouse	p65,p65 NFkB,p65 NF-kappa B
12393	Runx2	house mouse	Cbf,LS3,AML3,Osf2,Cbfa1,Cbfa-1,PEBP2aA,Pebp2a1,Pebpa2a,CBF-alpha-1
12576	Cdkn1b	house mouse	p27,Kip1,p27Kip1
12638	Cftr	house mouse	Abcc7
14961	H2-Ab1	house mouse	IAb,Ia2,Ia-2,Abeta,H-2Ab,H2-Ab,Rmcs1,I-Abeta
16183	Il2	house mouse	Il-2
16412	Itgb1	house mouse	CD29,Fnrb,gpIIa,Gm9863,4633401G24Rik
18587	Pde6b	house mouse	r,rd,rd1,Pdeb,rd-1,rd10
19699	Reln	house mouse	rl,reeler
111364	H2	house mouse	H-2,MHC-II
11450	Adipoq	house mouse	Ad,APN,Acdc,Adid,apM1,30kDa,GBP28,adipo,Acrp30
21943	Tnfsf11	house mouse	ODF,OPGL,RANKL,Ly109l,Trance
12043	Bcl2	house mouse	Bcl-2,C430015F12Rik,D630044D05Rik,D830018M01Rik
16019	Ighm	house mouse	Igm,muH,Igh6,Igh-6,Igh-M
18999	Pou5f1	house mouse	Oct3,Oct4,Otf3,Otf4,NF-A3,Oct-3,Oct-4,Otf-3,Otf-4,Otf3g,Oct3/4,Oct-3/4,Otf3-rs7
12362	Casp1	house mouse	ICE,Il1bc
15289	Hmgb1	house mouse	p30,Hmg1,HMG-1,SBP-1
19353	Rac1	house mouse	D5Ertd559e
12156	Bmp2	house mouse	Bmp2a
26419	Mapk8	house mouse	JNK,JNK1,Prkm8,SAPK1
14179	Fgf8	house mouse	Aigf,Fgf-8,Fgf6c,HBGF-8
15218	Foxn1	house mouse	nu,Whn,nude,Fkh19,Hfh11,HFH-11,D11Bhm185e
21473	Tcra	house mouse	Tcralpha
21823	Th	house mouse	
11545	Parp1	house mouse	PARP,PPOL,ARTD1,Adprp,Adprt1,msPARP,parp-1,sPARP-1,5830444G22Rik
12307	Calb1	house mouse	CB,Calb,Calb-1,Brain-2
17127	Smad3	house mouse	Madh3
18053	Ngfr	house mouse	p75,LNGFR,p75NTR,p75NGFR,Tnfrsf16
21577	Tcrb	house mouse	Tib,TCRbeta
56458	Foxo1	house mouse	Afxh,FKHR,Fkhr1,Foxo1a
14815	Nr3c1	house mouse	GR,Grl1,Grl-1
18008	Nes	house mouse	RC2,Marc2,ESTM46,Ifaprc2
11920	Atm	house mouse	C030026E19Rik
12504	Cd4	house mouse	L3T4,Ly-4
12912	Creb1	house mouse	Creb,Creb-1,2310001E10Rik,3526402H21Rik
16177	Il1r1	house mouse	IL-iR,CD121a,CD121b,IL-1R1,Il1r-1,IL-1R-1,IL-1RT1,IL-1RT-1,IL-1R-alpha
16186	Il2rg	house mouse	gc,p64,[g]c,CD132,gamma(c)
16476	Jun	house mouse	AP-1,Junc,c-jun
18439	P2rx7	house mouse	P2X7R,P2X(7)
20315	Cxcl12	house mouse	Pbsf,Sdf1,Tlsf,Tpar1,Scyb12
20617	Snca	house mouse	NACP,alphaSYN,alpha-Syn
12443	Ccnd1	house mouse	cD1,CycD1,Cyl-1,PRAD1,bcl-1
12505	Cd44	house mouse	Ly-24,Pgp-1,HERMES
14281	Fos	house mouse	cFos,c-fos,D12Rfj1
20604	Sst	house mouse	SS,SOM,SRIF,Smst
12266	C3	house mouse	ASP,Plp,HSE-MSF
12478	Cd19	house mouse	
13162	Slc6a3	house mouse	DAT,Dat1
15894	Icam1	house mouse	CD54,Ly-47,Icam-1,MALA-2
16173	Il18	house mouse	Igif,Il-18
20852	Stat6	house mouse	
13983	Esr2	house mouse	ER[b],Estrb,ERbeta
14173	Fgf2	house mouse	Fgfb,bFGF,Fgf-2,Fgf2a
16160	Il12b	house mouse	p40,Il-12b,Il12p40,Il-12p40
77125	Il33	house mouse	Il-33,Il1f11,NF-HEV,9230117N10Rik
14415	Gad1	house mouse	EP10,Gad-1
14632	Gli1	house mouse	Zfp5,Zfp-5
15979	Ifngr1	house mouse	Ifgr,CD119,Ifngr,Nktar,IFN-gammaR
17196	Mbp	house mouse	jve,mld,shi,Hmbpr,golli-mbp
18505	Pax3	house mouse	Sp,Pax-3,Splchl2,splotch
18627	Per2	house mouse	mPer2,mKIAA0347
11865	Bmal1	house mouse	MOP3,Arnt3,Arntl,BMAL1b,bHLHe5,bmal1b'
12767	Cxcr4	house mouse	CD184,LESTR,Sdf1r,CXC-R4,CXCR-4,Cmkar4,PB-CKR,b2b220Clo,PBSF/SDF-1
12977	Csf1	house mouse	op,Csfm,MCSF,BAP025,PG-M-CSF,Mhdabap25
17927	Myod1	house mouse	MYF3,MyoD,Myod-1,bHLHc1
18212	Ntrk2	house mouse	Tkrb,trkB,trk-B,GP145-TrkB/GP95-TrkB
21938	Tnfrsf1b	house mouse	p75,TNFBR,Tnfr2,CD120b,TNF-R2,TNFR80,TNFRII,Tnfr-1,TNF-R75,TNF-R-II,TNF-alphaR2,TNFalpha-R2
21939	Cd40	house mouse	IGM,p50,Bp50,GP39,IMD3,TRAP,HIGM1,T-BAM,Tnfrsf5
110066	Tcrd	house mouse	Tcrdelta
18390	Oprm1	house mouse	mor,Oprm,muOR,MOP-R,MOR-1,M-OR-1,MOR-1O
20528	Slc2a4	house mouse	GT2,twgy,Glut4,Glut-4
22337	Vdr	house mouse	Nr1i1
11540	Adora2a	house mouse	A2aR,A2AAR,AA2AR,ARA2A
13489	Drd2	house mouse	D2R,Drd-2
14526	Gcg	house mouse	Glu,PPG,GLP-1
14810	Grin1	house mouse	NR1,GluN1,Nmdar,NMD-R1,NMDAR1,M100174,Rgsc174,GluRzeta1,GluRdelta1
50518	a	house mouse	As,ASP,A<y>,ASIP
105787	Prkaa1	house mouse	AMPKalpha1,C130083N04Rik
18566	Pdcd1	house mouse	PD-1,Pdc1,Ly101
18595	Pdgfra	house mouse	CD140a,Pdgfr-2
19264	Ptprc	house mouse	loc,B220,Cd45,L-CA,Ly-5,T200,CD45R,Lyt-4
20997	T	house mouse	Lr,T1,Bra,Low,Tl2,Tl3,cou,Tbxt,me75,D17Mit170
